# SYSMSGCATEGORYDESC00001;Description;Tablename;Fieldname (WAMAS);Shortname (xml relevant);Datatype (WAMAS);Length (WAMAS);Decimalplaces (WAMAS);Mandatory;Foreignkey;Documentation;ERP relevant;Fieldname (SAP);Datatype (SAP);Length (SAP);Decimalplaces (SAP)
1;System message category description;SysMsgCategoryDesc;SysMsgCategory;msgCategoryId;S;50;0;X;;Defines the system message category description of the system message category.;
2;System message category description;SysMsgCategoryDesc;Language;language;S;6;0;X;;Defines the language of the system message category description.;
3;System message category description;SysMsgCategoryDesc;description;description;S;30;0;X;;Language dependent description of the system message category.;
