# FWCS_FFOITEMLINE00001;Description;Tablename;Fieldname (WAMAS);Shortname (xml relevant);Datatype (WAMAS);Length (WAMAS);Decimalplaces (WAMAS);Mandatory;Foreignkey;Documentation;ERP relevant;Fieldname (SAP);Datatype (SAP);Length (SAP);Decimalplaces (SAP)
1;Client;FulfillmentOrderItemLine;FulfillmentOrder.Client.clientId;clientId;S;10;0;X;X;Is the unique identification of a client.;
2;Fulfillment order;FulfillmentOrderItemLine;FulfillmentOrder.orderId;orderId;S;20;0;X;X;Fulfillment order ID;
3;System partner line;FulfillmentOrderItemLine;sysPartnerLine;sysPartnerLine;N;10;0;X;;The associated line of the initial system partner telegram. If a delivery line is added within WAMAS, then this number is set to 0.;
4;Item number;FulfillmentOrderItemLine;packagingVersion.Item.itemNo;itemNo;S;20;0;X;X; Is a part of the unique identification of an item. ;
5;Variant;FulfillmentOrderItemLine;packagingVersion.Item.variant;variant;S;10;0;X;X; The variant is the most precise description of an item. With the help of the variant, e.g. colours or sizes of clothing can be specified. Is a part of the unique identification of an item. ;
6;BQU / WQU;FulfillmentOrderItemLine;packagingVersion.numBquWqu;numBquWqu;D;12;3;X;;Defines the number of base quantity units for the warehouse quantity as a factor. This value is calculated automatically and cannot be changed by the user.This factor is stored redundantly to gain performance during the process and in dialogs.To avoid rounding errors, the number of dual quantity units is stored as a fraction.;
7;Ordered quantity;FulfillmentOrderItemLine;orderedWqu;orderedWqu;D;6;0;X;;Number of ordered WQUs;
8;Storage location;FulfillmentOrderItemLine;pla.pickingLoc.stoLocId;stoLocId;S;20;0;;X;The identifier of the storage location per warehouse location.;
9;Data state;;;recordState;E;6;0;;;;com.wamas.wms.core.di.recordtypes.RecordState
