# SHIPMENTLUOBOACK00001;Description;Tablename;Fieldname (WAMAS);Shortname (xml relevant);Datatype (WAMAS);Length (WAMAS);Decimalplaces (WAMAS);Mandatory;Foreignkey;Documentation;ERP relevant;Fieldname (SAP);Datatype (SAP);Length (SAP);Decimalplaces (SAP)
1;LU-ID;LoadUnit;luId;luId;S;20;0;X;;Is part of the unique identification of a stock object bundle.;
2;Client;Client;clientId;clientId;S;10;0;X;;Is the unique identification of a client.;
3;Outbound order number;OutboundOrder;oboNo;oboNo;S;20;0;X;;The outbound order number is part of the unique identifier of the outbound order.;
4;System partner;SystemPartner;id;SystemPartner_id;S;10;0;X;;Unique identification of a system partner (see SystemPartner).;
